Transaction ID,Items
1,"Toothpaste, Diapers, Detergent"
2,"Cereal, Milk, Shampoo"
3,"Cereal, Bread, Shampoo, Chicken Breast, Detergent"
4,"Eggs, Milk, Detergent"
5,"Toothpaste, Eggs"
6,"Eggs, Diapers, Chicken Breast, Cereal, Shampoo"
7,"Chicken Breast, Cereal, Eggs, Milk, Diapers"
8,"Bread, Milk"
9,"Detergent, Eggs, Diapers, Apples"
10,"Bread, Cereal, Toothpaste, Detergent, Chicken Breast"
11,"Bread, Apples, Cereal, Milk, Shampoo"
12,"Diapers, Bread, Eggs"
13,"Diapers, Chicken Breast, Milk, Bread, Detergent"
14,"Diapers, Apples, Shampoo, Bread, Cereal"
15,"Toothpaste, Eggs, Shampoo"
16,"Milk, Eggs, Bread, Cereal"
17,"Toothpaste, Shampoo, Milk, Diapers"
18,"Diapers, Shampoo"
19,"Milk, Bread, Toothpaste, Shampoo"
20,"Cereal, Chicken Breast, Toothpaste, Detergent"
