Transaction ID,Items
1,"Eggs, Cereal"
2,"Milk, Eggs, Detergent, Chicken Breast"
3,"Shampoo, Toothpaste, Apples, Detergent, Diapers"
4,"Diapers, Shampoo, Chicken Breast, Toothpaste"
5,"Chicken Breast, Milk"
6,"Eggs, Shampoo, Toothpaste, Cereal, Apples"
7,"Milk, Bread, Detergent, Apples"
8,"Milk, Toothpaste"
9,"Chicken Breast, Milk, Cereal, Toothpaste"
10,"Bread, Milk, Eggs, Diapers, Detergent"
11,"Apples, Shampoo"
12,"Cereal, Toothpaste, Detergent"
13,"Milk, Toothpaste"
14,"Detergent, Eggs, Cereal"
15,"Eggs, Milk, Detergent, Cereal"
16,"Detergent, Cereal, Apples"
17,"Cereal, Toothpaste, Chicken Breast"
18,"Apples, Toothpaste"
19,"Chicken Breast, Shampoo, Toothpaste"
20,"Bread, Toothpaste"
